nome,genero,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto_par,quant_viagem
 FABIO HENRIQUE SANTANA DE CARVALHO,M,90,2,0,75,22,0, 19/06/1972,368974.61,40955.79,72557.25,,,,,,,,,,0,1103960.07,110763.22,111436.47,110870.47,105066.49,109456.57,110377.32,111465.54,111465.54,111465.54,111592.91,,,33763.0,0
 FÁBIO SALUSTINO MESQUITA DE FARIA,M,0,0,0,0,0,0,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,33763.0,0
 FABIO CRUZ MITIDIERI,M,54,8,10,17,19,8, 24/02/1977,227041.28,35258.61,60373.78,,,,,,,,,,0,1085769.32,109876.31,106389.76,109876.31,109876.31,109876.31,107693.02,97566.52,111538.26,111538.26,111538.26,,,33763.0,0
 FÁBIO AUGUSTO RAMALHO DOS SANTOS,M,88,4,0,19,17,0, 22/12/1961,279623.33,37959.25,125820.25,,,,,,,,,,0,1073082.8,106849.52,105995.76,104102.48,110337.36,103699.99,104762.87,104762.87,110775.07,111665.77,110131.11,,,33763.0,0
 FABIO DE ALMEIDA REIS,M,80,8,4,35,1,0, 15/04/1977,311152.08,39865.8,130379.78,,,,,,,,,,0,1107209.05,108307.92,109336.37,109408.57,111574.66,111574.66,111574.66,111574.66,111574.66,111574.66,110708.23,,,33763.0,0
 FÁBIO LUIZ SCHIOCHET FILHO,M,85,4,3,20,5,2, 31/05/1988,366563.96,37195.31,81743.31,,,,,,,,,,0,1114119.12,111568.63,111568.63,111568.63,111568.63,111568.63,111544.55,111526.14,111107.56,111107.56,110990.16,,,33763.0,0
 FÁBIO RICARDO TRAD,M,90,1,1,88,3,0, 18/08/1969,152297.71,9479.45,301115.25,,,,,,,,,,0,1112229.14,111501.88,111501.88,111501.88,111324.76,111501.88,111501.88,111501.88,111501.88,110217.75,110173.47,,,33763.0,0
 FAUSTO RUY PINATO,M,77,3,12,43,11,11, 01/06/1977,319737.01,23272.69,87741.82,,,,,,,,,,0,980822.68,91753.84,90661.58,91078.38,93641.4,98083.43,98203.3,101733.13,105365.38,105151.12,105151.12,,,33763.0,0
 LUIS FELIPE BONATTO FRANCISCHINI,M,86,4,2,26,39,1, 02/10/1991,285261.63,36420.46,142328.83,,,,,,,,,,0,1107177.89,111598.86,111598.86,111598.86,111598.86,111598.86,111598.86,111598.86,110754.73,107237.53,107993.61,,,33763.0,0
 FELÍCIO LATERÇA DE ALMEIDA,M,84,1,7,103,6,6, 26/05/1967,343719.83,33761.68,57801.73,,,,,,,,,,0,1070004.37,103822.74,108245.62,111562.78,109721.17,92281.25,106166.2,108227.55,109988.01,108902.3,111086.75,,,33763.0,0
 FELIPE AUGUSTO LYRA CARRERAS,M,77,11,4,70,41,1, 16/04/1975,169230.68,14274.35,294712.11,,,,,,,,,,0,1110530.22,108137.52,111659.58,111659.58,111659.58,111659.58,111571.02,109331.88,111617.16,111617.16,111617.16,,,33763.0,0
 FELIPE RIGONI LOPES,M,86,0,6,84,32,7, 13/06/1991,304207.28,41526.2,107455.73,,,,,,,,,,0,961510.1,97934.05,100493.35,100959.56,100959.56,104522.55,89598.5,80482.02,93565.41,93565.41,99429.69,,,33763.0,0
 FELIX DE ALMEIDA MENDONÇA JÚNIOR,M,86,0,6,30,16,8, 29/11/1963,317051.45,30256.2,112067.9,,,,,,,,,,0,1093456.69,111574.69,111574.69,111574.69,111574.69,111574.69,99983.33,107556.02,108772.32,109170.84,110100.73,,,33763.0,0
 LUIZ BENES LEOCADIO DE ARAUJO,M,88,1,3,35,6,2, 22/04/1966,344846.46,32697.33,126311.14,,,,,,,,,,0,1070001.74,110203.77,110203.77,106658.99,104203.11,106527.95,105841.47,105921.33,105964.18,107249.74,107227.43,,,33763.0,0
 HUMBERTO REZENDE PEREIRA,M,87,3,2,29,42,3, 14/11/1977,317620.57,31302.38,128350.67,,,,,,,,,,0,1114088.41,111514.04,111586.8,110868.87,111514.0,111457.65,111586.78,110672.43,111629.28,111629.28,111629.28,,,33763.0,0
 JOSÉ ROBERTO OLIVEIRA FARO,M,82,10,0,5,17,0, 20/06/1969,343680.4,50640.64,120821.55,,,,,,,,,,0,1107132.6,111210.84,110666.21,109899.05,111210.84,111210.84,110568.67,110434.02,111210.84,111210.84,109510.45,,,33763.0,0
 FERNANDO BORJA PINTO,M,0,0,0,0,0,0,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,33763.0,0
 CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,M,77,2,13,18,7,9, 01/02/1982,411553.49,37157.27,58498.4,,,,,,,,,,0,1114457.24,111436.53,111580.74,111495.03,111145.61,111498.95,111507.99,111507.99,111485.68,111392.71,111406.01,,,33763.0,0
 OLAVO BILAC PINTO NETO,M,80,7,5,54,7,3, 08/06/1963,366957.28,38107.55,30062.53,,,,,,,,,,0,1114014.41,111532.26,111532.26,111532.26,111532.26,111532.26,110224.07,111532.26,111532.26,111532.26,111532.26,,,33763.0,0
 ALCIBIO MESQUITA BIBO NUNES,M,90,1,1,33,23,0, 09/01/1957,439324.04,36377.5,24957.36,,,,,,,,,,0,978080.61,107838.27,106661.35,107626.01,107100.08,108678.71,110863.76,102938.79,80792.43,71989.13,73592.08,,,33763.0,0
 EMERSON MIGUEL PETRIV,M,0,0,0,0,0,0,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,33763.0,0
 JOÃO BOSCO DA COSTA,M,88,2,2,37,9,0, 28/09/1950,377536.38,31663.79,78878.92,,,,,,,,,,0,1096871.16,109107.22,111544.51,111544.51,111544.51,111544.51,111544.51,111544.51,106200.33,104641.61,107654.94,,,33763.0,0
 JOÃO BOSCO GOMES SARAIVA,M,71,18,3,16,9,1, 10/10/1959,439146.04,36572.34,40125.28,,,,,,,,,,0,1112738.23,111611.12,111611.12,109394.55,111611.12,111611.12,111393.56,111146.01,111574.73,111574.73,111210.17,,,33763.0,0
